,State
 California,30
 Florida,20
 Texas ,18
 Washington,15
 Georgia,13
 North Carolina,11
 Arizona,11
 New York,10
 Ohio,10
 Illinois,9
 Alabama,9
 Wisconsin,9
 Pennsylvania,7
 Colorado,7
 Nevada,6
 Michigan,6
 South Carolina,5
 Oklahoma,5
 Virginia,5
 Kentucky,5
